Better speed can be achieved with apex installed from https://www.github.com/nvidia/apex.
False	both_expanded_3NPs_coord_aff	-80.94056129455566	-79.22178840637207	The teacher 's son , a friend from middle school and John take dancing classes . <eos>	The teacher 's son , a friend from middle school and John takes dancing classes . <eos>
True	both_expanded_3NPs_coord_aff	-76.53150272369385	-77.09126663208008	The teacher 's son , a friend from middle school and John like fishing . <eos>	The teacher 's son , a friend from middle school and John likes fishing . <eos>
True	both_expanded_3NPs_coord_aff	-89.40197086334229	-89.42271518707275	The teacher 's son , a friend from middle school and John eat out with some friends . <eos>	The teacher 's son , a friend from middle school and John eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-96.78897666931152	-92.42537593841553	The teacher 's son , a friend from middle school and John drink beer in the pub tonight . <eos>	The teacher 's son , a friend from middle school and John drinks beer in the pub tonight . <eos>
False	both_expanded_3NPs_coord_aff	-91.07042217254639	-87.12661457061768	The teacher 's son , a friend from middle school and John love animals with fur . <eos>	The teacher 's son , a friend from middle school and John loves animals with fur . <eos>
False	both_expanded_3NPs_coord_aff	-86.64289569854736	-82.21724891662598	The teacher 's son , a friend from middle school and John find it difficult to concentrate . <eos>	The teacher 's son , a friend from middle school and John finds it difficult to concentrate . <eos>
False	both_expanded_3NPs_coord_aff	-86.14032888412476	-84.89974164962769	The teacher 's son , a friend from middle school and that student take dancing classes . <eos>	The teacher 's son , a friend from middle school and that student takes dancing classes . <eos>
False	both_expanded_3NPs_coord_aff	-83.86899709701538	-81.1174464225769	The teacher 's son , a friend from middle school and that student like fishing . <eos>	The teacher 's son , a friend from middle school and that student likes fishing . <eos>
True	both_expanded_3NPs_coord_aff	-95.66913366317749	-96.54782629013062	The teacher 's son , a friend from middle school and that student eat out with some friends . <eos>	The teacher 's son , a friend from middle school and that student eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-101.12676286697388	-97.45778894424438	The teacher 's son , a friend from middle school and that student drink beer in the pub tonight . <eos>	The teacher 's son , a friend from middle school and that student drinks beer in the pub tonight . <eos>
False	both_expanded_3NPs_coord_aff	-98.15464162826538	-95.11672353744507	The teacher 's son , a friend from middle school and that student love animals with fur . <eos>	The teacher 's son , a friend from middle school and that student loves animals with fur . <eos>
False	both_expanded_3NPs_coord_aff	-88.41687059402466	-85.09508562088013	The teacher 's son , a friend from middle school and that student find it difficult to concentrate . <eos>	The teacher 's son , a friend from middle school and that student finds it difficult to concentrate . <eos>
False	both_expanded_3NPs_coord_aff	-84.11553192138672	-83.94877338409424	The teacher 's son , a friend from middle school and the audience take dancing classes . <eos>	The teacher 's son , a friend from middle school and the audience takes dancing classes . <eos>
False	both_expanded_3NPs_coord_aff	-81.54899024963379	-81.02303695678711	The teacher 's son , a friend from middle school and the audience like fishing . <eos>	The teacher 's son , a friend from middle school and the audience likes fishing . <eos>
True	both_expanded_3NPs_coord_aff	-91.75789165496826	-94.47041034698486	The teacher 's son , a friend from middle school and the audience eat out with some friends . <eos>	The teacher 's son , a friend from middle school and the audience eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-97.81231212615967	-96.17302703857422	The teacher 's son , a friend from middle school and the audience drink beer in the pub tonight . <eos>	The teacher 's son , a friend from middle school and the audience drinks beer in the pub tonight . <eos>
False	both_expanded_3NPs_coord_aff	-94.13502979278564	-92.23721504211426	The teacher 's son , a friend from middle school and the audience love animals with fur . <eos>	The teacher 's son , a friend from middle school and the audience loves animals with fur . <eos>
False	both_expanded_3NPs_coord_aff	-84.08726024627686	-83.32979011535645	The teacher 's son , a friend from middle school and the audience find it difficult to concentrate . <eos>	The teacher 's son , a friend from middle school and the audience finds it difficult to concentrate . <eos>
False	both_expanded_3NPs_coord_aff	-111.20936679840088	-106.83993721008301	The teacher 's son , the girl who cooks the best soup in town and John take dancing classes . <eos>	The teacher 's son , the girl who cooks the best soup in town and John takes dancing classes . <eos>
False	both_expanded_3NPs_coord_aff	-106.97085762023926	-105.99899101257324	The teacher 's son , the girl who cooks the best soup in town and John like fishing . <eos>	The teacher 's son , the girl who cooks the best soup in town and John likes fishing . <eos>
False	both_expanded_3NPs_coord_aff	-118.64721584320068	-116.84096145629883	The teacher 's son , the girl who cooks the best soup in town and John eat out with some friends . <eos>	The teacher 's son , the girl who cooks the best soup in town and John eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-120.84897136688232	-118.09582614898682	The teacher 's son , the girl who cooks the best soup in town and John drink beer in the pub tonight . <eos>	The teacher 's son , the girl who cooks the best soup in town and John drinks beer in the pub tonight . <eos>
False	both_expanded_3NPs_coord_aff	-117.87302303314209	-117.2960033416748	The teacher 's son , the girl who cooks the best soup in town and John love animals with fur . <eos>	The teacher 's son , the girl who cooks the best soup in town and John loves animals with fur . <eos>
False	both_expanded_3NPs_coord_aff	-116.47658252716064	-111.61181020736694	The teacher 's son , the girl who cooks the best soup in town and John find it difficult to concentrate . <eos>	The teacher 's son , the girl who cooks the best soup in town and John finds it difficult to concentrate . <eos>
False	both_expanded_3NPs_coord_aff	-112.70979309082031	-112.3553466796875	The teacher 's son , the girl who cooks the best soup in town and that student take dancing classes . <eos>	The teacher 's son , the girl who cooks the best soup in town and that student takes dancing classes . <eos>
False	both_expanded_3NPs_coord_aff	-112.25642967224121	-108.63322353363037	The teacher 's son , the girl who cooks the best soup in town and that student like fishing . <eos>	The teacher 's son , the girl who cooks the best soup in town and that student likes fishing . <eos>
True	both_expanded_3NPs_coord_aff	-122.02250385284424	-124.02142524719238	The teacher 's son , the girl who cooks the best soup in town and that student eat out with some friends . <eos>	The teacher 's son , the girl who cooks the best soup in town and that student eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-127.86557865142822	-123.44164371490479	The teacher 's son , the girl who cooks the best soup in town and that student drink beer in the pub tonight . <eos>	The teacher 's son , the girl who cooks the best soup in town and that student drinks beer in the pub tonight . <eos>
False	both_expanded_3NPs_coord_aff	-125.54843616485596	-122.43006229400635	The teacher 's son , the girl who cooks the best soup in town and that student love animals with fur . <eos>	The teacher 's son , the girl who cooks the best soup in town and that student loves animals with fur . <eos>
False	both_expanded_3NPs_coord_aff	-117.98973560333252	-115.38863563537598	The teacher 's son , the girl who cooks the best soup in town and that student find it difficult to concentrate . <eos>	The teacher 's son , the girl who cooks the best soup in town and that student finds it difficult to concentrate . <eos>
False	both_expanded_3NPs_coord_aff	-110.14483547210693	-109.90856266021729	The teacher 's son , the girl who cooks the best soup in town and the audience take dancing classes . <eos>	The teacher 's son , the girl who cooks the best soup in town and the audience takes dancing classes . <eos>
True	both_expanded_3NPs_coord_aff	-106.99322319030762	-107.77966117858887	The teacher 's son , the girl who cooks the best soup in town and the audience like fishing . <eos>	The teacher 's son , the girl who cooks the best soup in town and the audience likes fishing . <eos>
True	both_expanded_3NPs_coord_aff	-119.9123477935791	-122.02907371520996	The teacher 's son , the girl who cooks the best soup in town and the audience eat out with some friends . <eos>	The teacher 's son , the girl who cooks the best soup in town and the audience eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-123.46714401245117	-123.29517936706543	The teacher 's son , the girl who cooks the best soup in town and the audience drink beer in the pub tonight . <eos>	The teacher 's son , the girl who cooks the best soup in town and the audience drinks beer in the pub tonight . <eos>
False	both_expanded_3NPs_coord_aff	-120.34711360931396	-119.68354034423828	The teacher 's son , the girl who cooks the best soup in town and the audience love animals with fur . <eos>	The teacher 's son , the girl who cooks the best soup in town and the audience loves animals with fur . <eos>
False	both_expanded_3NPs_coord_aff	-112.263352394104	-111.70284271240234	The teacher 's son , the girl who cooks the best soup in town and the audience find it difficult to concentrate . <eos>	The teacher 's son , the girl who cooks the best soup in town and the audience finds it difficult to concentrate . <eos>
False	both_expanded_3NPs_coord_aff	-92.21426439285278	-90.11758756637573	The teacher 's son , the woman wearing a bracelet on her wrist and John take dancing classes . <eos>	The teacher 's son , the woman wearing a bracelet on her wrist and John takes dancing classes . <eos>
False	both_expanded_3NPs_coord_aff	-89.99951982498169	-88.96094083786011	The teacher 's son , the woman wearing a bracelet on her wrist and John like fishing . <eos>	The teacher 's son , the woman wearing a bracelet on her wrist and John likes fishing . <eos>
False	both_expanded_3NPs_coord_aff	-104.27377367019653	-101.92757940292358	The teacher 's son , the woman wearing a bracelet on her wrist and John eat out with some friends . <eos>	The teacher 's son , the woman wearing a bracelet on her wrist and John eats out with some friends . <eos>
False	both_expanded_3NPs_coord_aff	-106.32388734817505	-106.2000584602356	The teacher 's son , the woman wearing a bracelet on her wrist and John drink beer in the pub tonight . <eos>	The teacher 's son , the woman wearing a bracelet on her wrist and John drinks beer in the pub tonight . <eos>
