pattern	sent	sent_alt
tense_agr_future_pl_sg_neg	My parents will not laugh , but she will . <eos>	My parents will not laugh , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not laugh , but Jane will . <eos>	My parents will not laugh , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not laugh , but my friend Carl will . <eos>	My parents will not laugh , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not laugh , but every person in the room will . <eos>	My parents will not laugh , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not laugh , but everyone invited will . <eos>	My parents will not laugh , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not cheat , but she will . <eos>	My parents will not cheat , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not cheat , but Jane will . <eos>	My parents will not cheat , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not cheat , but my friend Carl will . <eos>	My parents will not cheat , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not cheat , but every person in the room will . <eos>	My parents will not cheat , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not cheat , but everyone invited will . <eos>	My parents will not cheat , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not watch TV , but she will . <eos>	My parents will not watch TV , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not watch TV , but Jane will . <eos>	My parents will not watch TV , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not watch TV , but my friend Carl will . <eos>	My parents will not watch TV , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not watch TV , but every person in the room will . <eos>	My parents will not watch TV , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not watch TV , but everyone invited will . <eos>	My parents will not watch TV , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not get tired from running , but she will . <eos>	My parents will not get tired from running , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not get tired from running , but Jane will . <eos>	My parents will not get tired from running , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not get tired from running , but my friend Carl will . <eos>	My parents will not get tired from running , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not get tired from running , but every person in the room will . <eos>	My parents will not get tired from running , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not get tired from running , but everyone invited will . <eos>	My parents will not get tired from running , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not think about the human condition , but she will . <eos>	My parents will not think about the human condition , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not think about the human condition , but Jane will . <eos>	My parents will not think about the human condition , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not think about the human condition , but my friend Carl will . <eos>	My parents will not think about the human condition , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not think about the human condition , but every person in the room will . <eos>	My parents will not think about the human condition , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not think about the human condition , but everyone invited will . <eos>	My parents will not think about the human condition , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not complain about life 's misery , but she will . <eos>	My parents will not complain about life 's misery , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not complain about life 's misery , but Jane will . <eos>	My parents will not complain about life 's misery , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not complain about life 's misery , but my friend Carl will . <eos>	My parents will not complain about life 's misery , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not complain about life 's misery , but every person in the room will . <eos>	My parents will not complain about life 's misery , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not complain about life 's misery , but everyone invited will . <eos>	My parents will not complain about life 's misery , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not read all the evolutionary biology books in the library , but she will . <eos>	My parents will not read all the evolutionary biology books in the library , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not read all the evolutionary biology books in the library , but Jane will . <eos>	My parents will not read all the evolutionary biology books in the library , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not read all the evolutionary biology books in the library , but my friend Carl will . <eos>	My parents will not read all the evolutionary biology books in the library , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not read all the evolutionary biology books in the library , but every person in the room will . <eos>	My parents will not read all the evolutionary biology books in the library , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not read all the evolutionary biology books in the library , but everyone invited will . <eos>	My parents will not read all the evolutionary biology books in the library , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	My parents will not write the homework on linear algebra , but she will . <eos>	My parents will not write the homework on linear algebra , but she is . <eos>
tense_agr_future_pl_sg_neg	My parents will not write the homework on linear algebra , but Jane will . <eos>	My parents will not write the homework on linear algebra , but Jane is . <eos>
tense_agr_future_pl_sg_neg	My parents will not write the homework on linear algebra , but my friend Carl will . <eos>	My parents will not write the homework on linear algebra , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	My parents will not write the homework on linear algebra , but every person in the room will . <eos>	My parents will not write the homework on linear algebra , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	My parents will not write the homework on linear algebra , but everyone invited will . <eos>	My parents will not write the homework on linear algebra , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not laugh , but she will . <eos>	The students will not laugh , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not laugh , but Jane will . <eos>	The students will not laugh , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not laugh , but my friend Carl will . <eos>	The students will not laugh , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not laugh , but every person in the room will . <eos>	The students will not laugh , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not laugh , but everyone invited will . <eos>	The students will not laugh , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not cheat , but she will . <eos>	The students will not cheat , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not cheat , but Jane will . <eos>	The students will not cheat , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not cheat , but my friend Carl will . <eos>	The students will not cheat , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not cheat , but every person in the room will . <eos>	The students will not cheat , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not cheat , but everyone invited will . <eos>	The students will not cheat , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not watch TV , but she will . <eos>	The students will not watch TV , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not watch TV , but Jane will . <eos>	The students will not watch TV , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not watch TV , but my friend Carl will . <eos>	The students will not watch TV , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not watch TV , but every person in the room will . <eos>	The students will not watch TV , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not watch TV , but everyone invited will . <eos>	The students will not watch TV , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not get tired from running , but she will . <eos>	The students will not get tired from running , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not get tired from running , but Jane will . <eos>	The students will not get tired from running , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not get tired from running , but my friend Carl will . <eos>	The students will not get tired from running , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not get tired from running , but every person in the room will . <eos>	The students will not get tired from running , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not get tired from running , but everyone invited will . <eos>	The students will not get tired from running , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not think about the human condition , but she will . <eos>	The students will not think about the human condition , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not think about the human condition , but Jane will . <eos>	The students will not think about the human condition , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not think about the human condition , but my friend Carl will . <eos>	The students will not think about the human condition , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not think about the human condition , but every person in the room will . <eos>	The students will not think about the human condition , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not think about the human condition , but everyone invited will . <eos>	The students will not think about the human condition , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not complain about life 's misery , but she will . <eos>	The students will not complain about life 's misery , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not complain about life 's misery , but Jane will . <eos>	The students will not complain about life 's misery , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not complain about life 's misery , but my friend Carl will . <eos>	The students will not complain about life 's misery , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not complain about life 's misery , but every person in the room will . <eos>	The students will not complain about life 's misery , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not complain about life 's misery , but everyone invited will . <eos>	The students will not complain about life 's misery , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not read all the evolutionary biology books in the library , but she will . <eos>	The students will not read all the evolutionary biology books in the library , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not read all the evolutionary biology books in the library , but Jane will . <eos>	The students will not read all the evolutionary biology books in the library , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not read all the evolutionary biology books in the library , but my friend Carl will . <eos>	The students will not read all the evolutionary biology books in the library , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not read all the evolutionary biology books in the library , but every person in the room will . <eos>	The students will not read all the evolutionary biology books in the library , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not read all the evolutionary biology books in the library , but everyone invited will . <eos>	The students will not read all the evolutionary biology books in the library , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The students will not write the homework on linear algebra , but she will . <eos>	The students will not write the homework on linear algebra , but she is . <eos>
tense_agr_future_pl_sg_neg	The students will not write the homework on linear algebra , but Jane will . <eos>	The students will not write the homework on linear algebra , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The students will not write the homework on linear algebra , but my friend Carl will . <eos>	The students will not write the homework on linear algebra , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The students will not write the homework on linear algebra , but every person in the room will . <eos>	The students will not write the homework on linear algebra , but every person in the room is . <eos>
tense_agr_future_pl_sg_neg	The students will not write the homework on linear algebra , but everyone invited will . <eos>	The students will not write the homework on linear algebra , but everyone invited is . <eos>
tense_agr_future_pl_sg_neg	The girls will not laugh , but she will . <eos>	The girls will not laugh , but she is . <eos>
tense_agr_future_pl_sg_neg	The girls will not laugh , but Jane will . <eos>	The girls will not laugh , but Jane is . <eos>
tense_agr_future_pl_sg_neg	The girls will not laugh , but my friend Carl will . <eos>	The girls will not laugh , but my friend Carl is . <eos>
tense_agr_future_pl_sg_neg	The girls will not laugh , but every person in the room will . <eos>	The girls will not laugh , but every person in the room is . <eos>
